Kode Cabang Induk;Cabang Induk;NAMA PERUSAHAAN;JENIS PIPELINE;ESTIMASI PEKERJA
286;KC Bandung Dewi Sartika;BRIGIF TP (Teritorial Pembangunan) TNI AD;Pipeline konsumer;2.280
286;KC Bandung Dewi Sartika;DENMADAM III/SLW;Pipeline konsumer;680
286;KC Bandung Dewi Sartika;GH Universal Hotel;Pipeline konsumer;100
286;KC Bandung Dewi Sartika;INSPEKTORAT PROVINSI JAWA BARAT;Pipeline konsumer;99
286;KC Bandung Dewi Sartika;INSTITUT SENI BUDAYA INDONESIA BANDUNG;Pipeline konsumer;259
286;KC Bandung Dewi Sartika;KANTOR IMIGRASI KELAS I TPI BANDUNG;Pipeline konsumer;115
286;KC Bandung Dewi Sartika;Kantor Kesehatan Pelabuhan Bandung;Pipeline konsumer;200
286;KC Bandung Dewi Sartika;Kanwil Imigrasi Bandung;Pipeline konsumer;50
286;KC Bandung Dewi Sartika;KIKAV 4/THC;Pipeline konsumer;114
286;KC Bandung Dewi Sartika;KODIM 0618 / BANDUNG;Pipeline konsumer;444
286;KC Bandung Dewi Sartika;LAN (Lembaga Administrasi Negara);Pipeline konsumer;55
286;KC Bandung Dewi Sartika;MAKODAM III/SLW;Pipeline konsumer;6.035
286;KC Bandung Dewi Sartika;PENGADILAN AGAMA BANDUNG;Pipeline konsumer;61
286;KC Bandung Dewi Sartika;PENGADILAN TINGGI AGAMA BANDUNG;Pipeline konsumer;104
286;KC Bandung Dewi Sartika;POLITEKNIK STIA LAN BANDUNG;Pipeline konsumer;82
286;KC Bandung Dewi Sartika;PT TELKOM INDONESIATELKOM REGIONAL III – JAWA BARAT;Pipeline konsumer;215
286;KC Bandung Dewi Sartika;PUSAT PELATIHAN DAN PENGEMBANGAN DAN PEMETAAN KOMPETENSI APARATUR SIPIL NEGARA;Pipeline konsumer;80
286;KC Bandung Dewi Sartika;PUSSENKAV;Pipeline konsumer;545
286;KC Bandung Dewi Sartika;RINDAM III/SLW;Pipeline konsumer;2.381
286;KC Bandung Dewi Sartika;STASIUN GEOFISIKA BANDUNG;Pipeline konsumer;133
286;KC Bandung Dewi Sartika;Tel U;Pipeline konsumer;415
286;KC Bandung Dewi Sartika;TVRI;Pipeline konsumer;60
286;KC Bandung Dewi Sartika;UNPAS Seni dan Sastra;Pipeline konsumer;100
286;KC Bandung Dewi Sartika;UNPAS Taman Sari;Pipeline konsumer;200
286;KC Bandung Dewi Sartika;YONARHANUD 14/PWY;Pipeline konsumer;435
286;KC Bandung Dewi Sartika;YONKAV 4/KC;Pipeline konsumer;380
286;KC Bandung Dewi Sartika;PT Assa Paper;Pipeline Top 100;150
401;KC Bandung Kopo;PT Anugrah Guntur Perkasa;Pipeline Top 100;40
401;KC Bandung Kopo;CV Global King;Pipeline Top 100;50
389;KC Bandung Martadinata;PT. Jodamo;Pipeline Top 100;100
389;KC Bandung Martadinata;Theos Wife Lois;Pipeline Top 100;110
389;KC Bandung Martadinata;PT. Ari Batara Sakti;Pipeline Top 100;50
389;KC Bandung Martadinata;arnata;Pipeline Top 100;100
